caracteristica;importancia;desv;familia;tipo
mfcc_9_mean;0.00033840947546526223;0.00097934322358632;MFCC;ventana actual
delta_prev_spectral_bandwidth_std;0.00029610829103211557;0.0006288523158764073;Ancho de banda;delta (anterior)
mfcc_4_std;0.00029610829103210445;0.0003303828120095808;MFCC;ventana actual
delta_next_mfcc_7_std;0.0002538071065989467;0.0005738011830055176;MFCC;delta (posterior)
delta_next_rms_mean;0.0002115059221657889;0.0003410430519584736;RMS (energía);delta (posterior)
delta_next_mfcc_5_mean;0.00021150592216577778;0.0009692418982563233;MFCC;delta (posterior)
spectral_rolloff_std;0.00016920473773262;0.0005417194786322295;Rolloff;ventana actual
delta_prev_mfcc_4_mean;0.00012690355329942894;0.0007811415106861036;MFCC;delta (anterior)
delta_next_spectral_bandwidth_std;4.230118443313557e-05;0.0006675014313899884;Ancho de banda;delta (posterior)
delta_next_mfcc_4_mean;4.230118443313557e-05;0.0006115411292217008;MFCC;delta (posterior)
delta_prev_mfcc_12_mean;4.230118443311337e-05;0.0006675014313900039;MFCC;delta (anterior)
delta_prev_spectral_bandwidth_mean;-3.3306690738754695e-17;0.0010187474262937498;Ancho de banda;delta (anterior)
rms_mean;-3.3306690738754695e-17;0.000535072362126628;RMS (energía);ventana actual
delta_prev_spectral_rolloff_mean;-4.230118443320219e-05;0.0005815451389537932;Rolloff;delta (anterior)
delta_next_mfcc_13_mean;-4.230118443320219e-05;0.0006675014313900052;MFCC;delta (posterior)
delta_prev_mfcc_4_std;-4.230118443321329e-05;0.0006675014313900047;MFCC;delta (anterior)
mfcc_3_std;-0.00012690355329952885;0.0007578880231459003;MFCC;ventana actual
delta_next_mfcc_4_std;-0.00012690355329953996;0.0005997227952097274;MFCC;delta (posterior)
mfcc_5_mean;-0.00016920473773267551;0.00028059431390488766;MFCC;ventana actual
delta_prev_mfcc_10_mean;-0.00016920473773268663;0.0005076142131979766;MFCC;delta (anterior)
mfcc_10_std;-0.00016920473773268663;0.0005738011830055339;MFCC;ventana actual
mfcc_6_std;-0.00016920473773269774;0.00038769675930253413;MFCC;ventana actual
delta_next_spectral_centroid_mean;-0.00021150592216587772;0.0006056607894786973;Centroide espectral;delta (posterior)
delta_prev_mfcc_8_mean;-0.00021150592216587772;0.0006345177664974703;MFCC;delta (anterior)
mfcc_5_std;-0.00025380710659903547;0.0006873128937932292;MFCC;ventana actual
mfcc_8_std;-0.00025380710659903547;0.0009496592352218293;MFCC;ventana actual
spectral_bandwidth_std;-0.0002538071065990466;0.0009111953988383309;Ancho de banda;ventana actual
mfcc_4_mean;-0.0003807106598985199;0.0006675014313900075;MFCC;ventana actual
delta_next_mfcc_13_std;-0.0004653130287648688;0.0003513800280422312;MFCC;delta (posterior)
delta_next_mfcc_11_mean;-0.0005076142131980044;0.0006216979042597023;MFCC;delta (posterior)
spectral_rolloff_mean;-0.0005076142131980154;0.0010667952802807586;Rolloff;ventana actual
delta_prev_mfcc_7_mean;-0.0005076142131980266;0.0007277770953504932;MFCC;delta (anterior)
delta_next_mfcc_3_std;-0.0005076142131980266;0.0003165530784073064;MFCC;delta (posterior)
delta_next_mfcc_7_mean;-0.0005499153976311844;0.0011038907234094595;MFCC;delta (posterior)
delta_next_spectral_bandwidth_mean;-0.0007191201353638266;0.0010370262835982524;Ancho de banda;delta (posterior)
delta_next_mfcc_8_std;-0.0008883248730965132;0.00029610829103213936;MFCC;delta (posterior)
spectral_centroid_mean;-0.0009729272419628177;0.0007090970649001703;Centroide espectral;ventana actual
delta_next_spectral_rolloff_mean;-0.0016074450084602953;0.00045559769941913976;Rolloff;delta (posterior)
