umbral;archivo;tipo;iou_mejor
0.5;H028_174_same_speaker.wav;same_speaker;0.0
0.5;H029_1272_cross_speaker.wav;cross_speaker;0.0
0.5;H029_1272_cross_speaker_ruido.wav;cross_speaker_ruido;0.2915
0.5;H029_1272_same_speaker.wav;same_speaker;0.5951
0.5;H030_2902_cross_speaker.wav;cross_speaker;0.0
0.5;H030_2902_cross_speaker_ruido.wav;cross_speaker_ruido;0.6971
0.5;H030_2902_same_speaker.wav;same_speaker;0.0
0.3;H001_6345_cross_speaker.wav;cross_speaker;0.3088
0.3;H001_6345_cross_speaker_ruido.wav;cross_speaker_ruido;0.5147
0.3;H001_6345_same_speaker.wav;same_speaker;0.1227
0.3;H002_2035_cross_speaker.wav;cross_speaker;0.5433
0.3;H002_2035_cross_speaker_ruido.wav;cross_speaker_ruido;0.4444
0.3;H002_2035_same_speaker.wav;same_speaker;0.0
0.3;H003_8842_cross_speaker.wav;cross_speaker;0.6817
0.3;H003_8842_cross_speaker_ruido.wav;cross_speaker_ruido;0.6817
0.3;H003_8842_same_speaker.wav;same_speaker;0.2312
0.3;H004_3170_cross_speaker.wav;cross_speaker;0.213
0.3;H004_3170_cross_speaker_ruido.wav;cross_speaker_ruido;0.284
0.3;H004_3170_same_speaker.wav;same_speaker;0.1764
0.3;H005_1919_cross_speaker.wav;cross_speaker;0.5847
0.3;H005_1919_cross_speaker_ruido.wav;cross_speaker_ruido;0.3898
0.3;H005_1919_same_speaker.wav;same_speaker;0.0525
0.3;H006_8297_cross_speaker.wav;cross_speaker;0.5567
0.3;H006_8297_cross_speaker_ruido.wav;cross_speaker_ruido;0.3036
0.3;H006_8297_same_speaker.wav;same_speaker;0.0
0.3;H007_3000_cross_speaker.wav;cross_speaker;0.2034
0.3;H007_3000_cross_speaker_ruido.wav;cross_speaker_ruido;0.326
0.3;H007_3000_same_speaker.wav;same_speaker;0.2394
0.3;H008_1988_cross_speaker.wav;cross_speaker;0.142
0.3;H008_1988_cross_speaker_ruido.wav;cross_speaker_ruido;0.1893
0.3;H008_1988_same_speaker.wav;same_speaker;0.8652
0.3;H009_5536_cross_speaker.wav;cross_speaker;0.4301
0.3;H009_5536_cross_speaker_ruido.wav;cross_speaker_ruido;0.3789
0.3;H009_5536_same_speaker.wav;same_speaker;0.4889
0.3;H010_6241_cross_speaker.wav;cross_speaker;0.6057
0.3;H010_6241_cross_speaker_ruido.wav;cross_speaker_ruido;0.5303
0.3;H010_6241_same_speaker.wav;same_speaker;0.0
0.3;H011_3752_cross_speaker.wav;cross_speaker;0.0921
0.3;H011_3752_cross_speaker_ruido.wav;cross_speaker_ruido;0.2828
0.3;H011_3752_same_speaker.wav;same_speaker;0.245
0.3;H012_3576_cross_speaker.wav;cross_speaker;0.2739
0.3;H012_3576_cross_speaker_ruido.wav;cross_speaker_ruido;0.5263
0.3;H012_3576_same_speaker.wav;same_speaker;0.4174
0.3;H013_7850_cross_speaker.wav;cross_speaker;0.1867
0.3;H013_7850_cross_speaker_ruido.wav;cross_speaker_ruido;0.3225
0.3;H013_7850_same_speaker.wav;same_speaker;0.4361
0.3;H014_5338_cross_speaker.wav;cross_speaker;0.0084
0.3;H014_5338_cross_speaker_ruido.wav;cross_speaker_ruido;0.5016
0.3;H014_5338_same_speaker.wav;same_speaker;0.3178
0.3;H015_2277_cross_speaker.wav;cross_speaker;0.0
0.3;H015_2277_cross_speaker_ruido.wav;cross_speaker_ruido;0.2018
0.3;H015_2277_same_speaker.wav;same_speaker;0.2571
0.3;H016_5895_cross_speaker.wav;cross_speaker;0.3541
0.3;H016_5895_cross_speaker_ruido.wav;cross_speaker_ruido;0.3522
0.3;H016_5895_same_speaker.wav;same_speaker;0.1165
